"max","min","mean","median","var","totalvar","auc","Xmax","Xmin","Xmean","Xmedian","Xvar","Xtotalvar","Xauc","Ymax","Ymin","Ymean","Ymedian","Yvar","Ytotalvar","Yauc","cover","state","subject","control","type"
"1965","1609","1822.85185185185","1841","7507.30494980962","1840","196868","4.96047197640118","4.68407032498668","4.77460110744983","4.75697621095337","0.00422301697885037","2.85804515480911","515.656919604582","6.5125348189415","6.26733222407099","6.39607132336547","6.39065430164154","0.00397623168558785","2.521122197965","690.775702923471","cover","dynamic","02","bot","constant"
"2122","1655","1934.62962962963","1952.5","18536.1979923849","2436","208940","4.9345579793341","4.59362745098039","4.71606176196102","4.69112204817566","0.00707994185909424","3.16655233054753","509.334670291791","6.53897550111359","6.34845005740528","6.43180544161384","6.43091522886044","0.00177350397738824","2.70701385469191","694.634987694294","cover","dynamic","02","bot","constant"
"2079","1696","1921.34259259259","1905","9131.21798200069","2173","207505","4.87225433526012","4.59337944664032","4.70154199525548","4.69331362111198","0.0031412031439251","2.73724587795452","507.766535487592","6.52575677110993","6.37527114967462","6.44976943045552","6.4539849981781","0.00123320450578259","2.68646416519738","696.575098489196","cover","dynamic","02","bot","constant"
"2110","1740","1936.10185185185","1920.5","8150.65308065074","2024","209099","4.78201479795105","4.6042927903137","4.6777955705658","4.67204576846227","0.00140569427600351","2.72061692834932","505.201921621107","6.55378061767838","6.35556780595369","6.47810117595607","6.47921215603652","0.00151834023269755","2.53172421381107","699.634927003256","cover","dynamic","02","bot","constant"
"2110","1740","1936.10185185185","1920.5","8150.65308065074","2024","209099","4.78201479795105","4.6042927903137","4.6777955705658","4.67204576846227","0.00140569427600351","2.72061692834932","505.201921621107","6.55378061767838","6.35556780595369","6.47810117595607","6.47921215603652","0.00151834023269755","2.53172421381107","699.634927003256","cover","dynamic","02","bot","constant"
"2110","1740","1936.10185185185","1920.5","8150.65308065074","2024","209099","4.78201479795105","4.6042927903137","4.6777955705658","4.67204576846227","0.00140569427600351","2.72061692834932","505.201921621107","6.55378061767838","6.35556780595369","6.47810117595607","6.47921215603652","0.00151834023269755","2.53172421381107","699.634927003256","cover","dynamic","02","bot","constant"
"2110","1740","1936.10185185185","1920.5","8150.65308065074","2024","209099","4.78201479795105","4.6042927903137","4.6777955705658","4.67204576846227","0.00140569427600351","2.72061692834932","505.201921621107","6.55378061767838","6.35556780595369","6.47810117595607","6.47921215603652","0.00151834023269755","2.53172421381107","699.634927003256","cover","dynamic","02","bot","constant"
"2110","1740","1936.10185185185","1920.5","8150.65308065074","2024","209099","4.78201479795105","4.6042927903137","4.6777955705658","4.67204576846227","0.00140569427600351","2.72061692834932","505.201921621107","6.55378061767838","6.35556780595369","6.47810117595607","6.47921215603652","0.00151834023269755","2.53172421381107","699.634927003256","cover","dynamic","02","bot","constant"
"270","171","217.111111111111","218","466.043613707165","1639","23448","6.05392156862745","5.03829787234043","5.48464439177492","5.43880857427717","0.0612744435758278","16.9984848785713","592.341594311691","7.02427184466019","5.76595744680851","6.38752761145157","6.38402969084787","0.0486988748901604","25.0309997412152","689.852982036769","cover","dynamic","02","bot","notouch"
"278","169","219.722222222222","217","653.118380062305","1726","23730","6.02439024390244","4.96788990825688","5.49608133628098","5.51151229722658","0.0531814613630958","16.7820044320122","593.576784318346","6.84821428571429","5.89558232931727","6.38508567735807","6.40939564231489","0.0461419331588726","22.3524366746799","689.589253154671","cover","dynamic","02","bot","notouch"
"276","173","216.037037037037","209","552.260297680858","1515","23332","6.12755102040816","5.03100775193798","5.55226503002842","5.55762167125804","0.0493266731079035","19.284325385029","599.644623243069","6.8744769874477","5.79638009049774","6.35215667511409","6.36344211344211","0.0463859969758351","21.2386690474679","686.032920912322","cover","dynamic","02","bot","notouch"
"264","189","221.296296296296","220","344.303911388024","1286","23900","5.98529411764706","4.95901639344262","5.53968358680176","5.55894736842106","0.044577194684869","17.0130055636477","598.28582737459","6.81739130434783","5.78455284552845","6.32043824584712","6.32931042021951","0.0389591528902769","17.9593063501617","682.607330551489","cover","dynamic","02","bot","notouch"
"264","189","221.296296296296","220","344.303911388024","1286","23900","5.98529411764706","4.95901639344262","5.53968358680176","5.55894736842106","0.044577194684869","17.0130055636477","598.28582737459","6.81739130434783","5.78455284552845","6.32043824584712","6.32931042021951","0.0389591528902769","17.9593063501617","682.607330551489","cover","dynamic","02","bot","notouch"
"264","189","221.296296296296","220","344.303911388024","1286","23900","5.98529411764706","4.95901639344262","5.53968358680176","5.55894736842106","0.044577194684869","17.0130055636477","598.28582737459","6.81739130434783","5.78455284552845","6.32043824584712","6.32931042021951","0.0389591528902769","17.9593063501617","682.607330551489","cover","dynamic","02","bot","notouch"
"264","189","221.296296296296","220","344.303911388024","1286","23900","5.98529411764706","4.95901639344262","5.53968358680176","5.55894736842106","0.044577194684869","17.0130055636477","598.28582737459","6.81739130434783","5.78455284552845","6.32043824584712","6.32931042021951","0.0389591528902769","17.9593063501617","682.607330551489","cover","dynamic","02","bot","notouch"
"264","189","221.296296296296","220","344.303911388024","1286","23900","5.98529411764706","4.95901639344262","5.53968358680176","5.55894736842106","0.044577194684869","17.0130055636477","598.28582737459","6.81739130434783","5.78455284552845","6.32043824584712","6.32931042021951","0.0389591528902769","17.9593063501617","682.607330551489","cover","dynamic","02","bot","notouch"
"950","200","374.981481481481","295","31165.9435790931","6081","40498","5.77102803738318","4.35218508997429","5.16323846877897","5.1619907658881","0.0824154601873127","17.4337217847676","557.629754628129","6.68891402714932","5.44957983193277","6.13694512681803","6.10687046004842","0.0768618292701872","15.4570763459814","662.790073696348","cover","dynamic","02","bot","pat"
"924","203","406.416666666667","362","27491.2920560748","5553","43893","5.70935960591133","4.43172951885566","5.06702515860751","5.06487659635529","0.0750410593072556","14.9363665254395","547.238717129611","7.27188940092166","5.58409785932722","6.26613445686829","6.14092123679858","0.196385478023183","17.4785412343895","676.742521341775","cover","dynamic","02","bot","pat"
"992","233","410.916666666667","397.5","23161.2172897196","5446","44379","5.78367346938775","4.57503320053121","5.05482392386575","5.00991039044165","0.062523138390907","14.4252453056574","545.920983777501","7.05369127516779","5.59050445103858","6.22902990492579","6.20091422339129","0.109909673853368","17.0875663533548","672.735229731986","cover","dynamic","02","bot","pat"
