"filename","condition","subject","gesture","count"
"shearx_P1_constant_1_FLAT.csv","flat","1","constant","-1"
"shearx_P1_constant_2_FLAT.csv","flat","1","constant","-1"
"shearx_P1_constant_3_FLAT.csv","flat","1","constant","-1"
"shearx_P1_constant_4_FLAT.csv","flat","1","constant","-1"
"shearx_P1_constant_5_FLAT.csv","flat","1","constant","-1"
"shearx_P1_constant_6_FLAT.csv","flat","1","constant","-1"
"shearx_P1_constant_7_FLAT.csv","flat","1","constant","-1"
"shearx_P1_constant_8_FLAT.csv","flat","1","constant","-1"
"shearx_P1_freeplay_1_FLAT.csv","flat","1","freeplay","-1"
"shearx_P1_freeplay_2_FLAT.csv","flat","1","freeplay","-1"
"shearx_P1_freeplay_3_FLAT.csv","flat","1","freeplay","-1"
"shearx_P1_freeplay_4_FLAT.csv","flat","1","freeplay","-1"
"shearx_P1_freeplay_5_FLAT.csv","flat","1","freeplay","-1"
"shearx_P1_freeplay_6_FLAT.csv","flat","1","freeplay","-1"
"shearx_P1_freeplay_7_FLAT.csv","flat","1","freeplay","-1"
"shearx_P1_freeplay_8_FLAT.csv","flat","1","freeplay","-1"
"shearx_P1_no_1_FLAT.csv","flat","1","no","-1"
"shearx_P1_no_2_FLAT.csv","flat","1","no","-1"
"shearx_P1_no_3_FLAT.csv","flat","1","no","-1"
"shearx_P1_no_4_FLAT.csv","flat","1","no","-1"
"shearx_P1_no_5_FLAT.csv","flat","1","no","-1"
"shearx_P1_no_6_FLAT.csv","flat","1","no","-1"
"shearx_P1_no_7_FLAT.csv","flat","1","no","-1"
"shearx_P1_no_8_FLAT.csv","flat","1","no","-1"
"shearx_P1_pat_1_FLAT.csv","flat","1","pat","-1"
"shearx_P1_pat_2_FLAT.csv","flat","1","pat","-1"
"shearx_P1_pat_3_FLAT.csv","flat","1","pat","-1"
"shearx_P1_pat_4_FLAT.csv","flat","1","pat","-1"
"shearx_P1_pat_5_FLAT.csv","flat","1","pat","-1"
"shearx_P1_pat_6_FLAT.csv","flat","1","pat","-1"
"shearx_P1_pat_7_FLAT.csv","flat","1","pat","-1"
"shearx_P1_pat_8_FLAT.csv","flat","1","pat","-1"
"shearx_P1_pinch_1_FLAT.csv","flat","1","pinch","-1"
"shearx_P1_pinch_2_FLAT.csv","flat","1","pinch","-1"
"shearx_P1_pinch_3_FLAT.csv","flat","1","pinch","-1"
"shearx_P1_pinch_4_FLAT.csv","flat","1","pinch","-1"
"shearx_P1_pinch_5_FLAT.csv","flat","1","pinch","-1"
"shearx_P1_pinch_6_FLAT.csv","flat","1","pinch","-1"
"shearx_P1_pinch_7_FLAT.csv","flat","1","pinch","-1"
